aprovisionador,es_fraudulento
PRV57215,No
PRV52592,No
PRV52286,No
PRV57677,No
PRV56718,No
PRV57313,No
PRV57602,No
PRV57299,No
PRV55045,No
PRV54438,No
PRV56118,No
PRV57578,No
PRV53714,No
PRV57491,No
PRV52547,No
PRV51428,No
PRV57398,No
PRV55438,No
PRV56719,Yes
PRV53453,No
PRV51015,No
PRV56775,No
PRV56689,Yes
PRV57679,No
PRV52666,No
PRV57144,No
PRV54270,No
PRV54333,Yes
PRV54284,No
PRV56789,No
PRV52562,No
PRV55534,No
PRV51231,No
PRV54045,No
PRV53107,No
PRV52559,No
PRV51841,No
PRV57293,No
PRV52133,No
PRV52949,No
PRV54367,Yes
PRV51093,No
PRV51607,No
PRV56759,No
PRV52366,No
PRV55689,Yes
PRV56376,No
PRV55570,No
PRV52029,No
PRV56811,No
PRV53337,No
PRV55883,No
PRV51679,No
PRV53766,No
PRV53964,No
PRV56889,No
PRV57484,No
PRV57568,No
PRV56986,No
PRV53539,No
PRV51200,No
PRV56013,No
PRV55117,No
PRV52738,No
PRV54855,No
PRV55749,No
PRV53642,No
PRV51344,No
PRV53947,No
PRV57643,No
PRV56504,No
PRV52701,No
PRV52143,No
PRV51401,Yes
PRV53901,No
PRV55163,Yes
PRV53151,No
PRV56594,No
PRV55831,No
PRV51652,No
PRV53050,No
PRV52860,Yes
PRV53171,No
PRV56720,No
PRV56067,No
PRV57194,No
PRV53385,Yes
PRV54653,No
PRV51989,No
PRV55477,No
PRV54117,No
PRV52596,No
PRV52768,No
PRV53257,No
PRV53659,No
PRV54960,No
PRV55354,No
PRV57247,No
PRV53638,No
PRV51110,No
PRV51711,No
PRV55313,No
PRV52372,No
PRV54480,No
PRV55002,No
PRV55848,No
PRV54630,No
PRV51788,No
PRV55768,No
PRV51356,No
PRV55323,No
PRV56001,No
PRV54591,No
PRV54990,No
PRV54720,No
PRV55903,No
PRV56772,No
PRV56437,Yes
PRV55273,No
PRV52677,No
PRV54436,No
PRV54763,No
PRV52736,No
PRV56337,No
PRV57469,No
PRV56302,No
PRV54285,No
PRV51902,No
PRV51175,No
PRV56269,No
PRV54499,No
PRV56608,Yes
PRV57567,No
PRV53073,No
PRV53915,No
PRV55612,No
PRV51625,No
PRV56989,No
PRV51930,No
PRV51380,No
PRV51164,No
PRV51482,Yes
PRV52552,No
PRV57043,No
PRV53315,No
PRV55482,Yes
PRV53438,No
PRV57476,No
PRV54163,No
PRV57594,No
PRV53992,No
PRV52696,No
PRV53562,No
PRV51632,No
PRV55898,No
PRV57248,No
PRV51858,No
PRV54381,No
PRV51721,No
PRV52458,No
PRV52340,Yes
PRV51118,No
PRV53923,Yes
PRV53353,No
PRV56416,Yes
PRV55069,No
PRV55833,No
PRV55019,Yes
PRV54938,No
PRV57223,Yes
PRV52702,No
PRV57251,No
PRV57759,No
PRV57634,No
PRV54947,No
PRV56158,No
PRV55193,Yes
PRV54184,No
PRV54310,No
PRV55276,No
PRV54408,No
PRV54963,No
PRV55114,No
PRV55469,No
PRV51249,Yes
PRV57392,No
PRV56147,No
PRV52081,No
PRV57276,No
PRV54222,No
PRV55661,No
PRV56396,Yes
PRV51070,No
PRV55506,Yes
PRV57046,No
PRV57289,No
PRV52231,No
PRV57304,No
PRV54728,No
PRV55260,No
PRV54312,No
PRV55229,No
PRV54431,No
PRV51142,No
PRV51250,No
PRV51082,No
PRV56425,Yes
PRV55531,Yes
PRV52687,No
PRV55560,No
PRV53141,No
PRV53577,No
PRV56210,No
PRV51176,No
PRV54817,No
PRV55978,No
PRV53032,No
PRV54237,No
PRV55762,No
PRV56297,No
PRV52483,No
PRV53522,No
PRV56151,No
PRV56723,No
PRV53670,Yes
PRV53423,No
PRV54742,Yes
PRV54029,No
PRV57419,No
PRV52486,No
PRV52775,No
PRV57722,No
PRV54028,No
PRV51442,No
PRV53724,No
PRV56086,No
PRV52415,No
PRV56739,No
PRV51794,No
PRV53026,No
PRV56034,No
PRV51265,No
PRV53618,No
PRV56517,No
PRV51620,No
PRV56442,Yes
PRV52654,No
PRV53765,No
PRV51296,No
PRV51102,No
PRV52041,Yes
PRV56886,No
PRV56682,No
PRV55363,No
PRV51739,No
PRV51168,No
PRV54223,No
PRV51055,No
PRV53688,No
PRV51606,No
PRV51926,No
PRV54574,No
PRV55558,No
PRV54829,No
PRV54997,No
PRV51629,No
PRV56544,No
PRV51264,No
PRV54130,No
PRV55265,No
PRV57672,Yes
PRV55126,No
PRV51511,No
PRV52934,No
PRV55225,Yes
PRV52577,No
PRV54326,No
PRV55143,No
PRV51228,No
PRV52031,No
PRV53725,No
PRV53163,No
PRV56407,No
PRV56624,Yes
PRV56077,No
PRV52586,No
PRV56285,No
PRV56774,No
PRV54425,No
PRV52246,No
PRV56574,No
PRV57004,No
PRV57241,No
PRV52820,No
PRV52300,No
PRV54745,No
PRV56694,No
PRV52389,No
PRV53651,No
PRV54892,No
PRV55256,No
PRV53230,No
PRV54302,No
PRV54697,No
PRV55963,No
PRV56389,No
PRV56211,No
PRV55680,No
PRV52545,No
PRV53218,No
PRV52622,No
PRV57507,No
PRV54898,No
PRV51125,No
PRV52520,No
PRV52661,No
PRV51418,No
PRV53072,No
PRV51940,Yes
PRV51937,No
PRV54656,No
PRV53666,No
PRV56453,No
PRV57067,No
PRV57548,Yes
PRV55609,No
PRV51916,No
PRV55329,No
PRV52573,No
PRV57481,Yes
PRV51745,No
PRV51329,No
PRV57743,No
PRV52938,No
PRV54429,No
PRV56194,No
PRV52362,No
PRV57444,No
PRV55880,No
PRV55819,No
PRV55371,No
PRV55839,No
PRV56967,No
PRV53303,No
PRV56868,No
PRV56403,Yes
PRV55147,Yes
PRV52371,No
PRV57110,No
PRV53750,No
PRV51436,No
PRV57435,No
PRV56957,No
PRV54944,No
PRV55837,No
PRV57409,Yes
PRV51500,No
PRV55957,Yes
PRV52723,No
PRV57646,No
PRV53069,No
PRV51267,No
PRV51476,No
PRV53150,No
PRV53783,No
PRV56528,No
PRV52384,No
PRV52266,No
PRV51067,Yes
PRV52325,Yes
PRV54420,No
PRV52186,No
PRV55344,No
PRV51743,No
PRV51309,No
PRV51336,No
PRV55503,No
PRV54062,No
PRV52279,No
PRV56837,No
PRV53079,No
PRV54916,No
PRV51243,No
PRV54862,No
PRV52754,No
PRV56214,No
PRV56198,No
PRV53341,No
PRV57305,No
PRV54203,No
PRV52449,No
PRV56176,No
PRV51605,No
PRV53145,No
PRV53712,Yes
PRV54182,No
PRV55674,No
PRV53375,No
PRV52648,Yes
PRV51843,No
PRV52843,Yes
PRV56754,No
PRV51253,No
PRV54153,No
PRV53469,No
PRV53612,No
PRV52823,No
PRV54196,No
PRV55711,No
PRV57731,No
PRV55874,No
PRV54411,No
PRV53641,No
PRV56783,No
PRV53317,No
PRV53845,No
PRV54111,Yes
PRV56904,No
PRV56566,Yes
PRV53135,No
PRV51759,No
PRV53474,No
PRV51387,No
PRV57356,No
PRV51914,No
PRV53958,No
PRV54325,No
PRV51742,No
PRV52328,No
PRV52991,No
PRV55094,No
PRV55940,No
PRV51792,No
PRV52745,No
PRV53952,No
PRV52350,No
PRV57309,No
PRV51202,No
PRV52343,Yes
PRV53872,No
PRV54154,No
PRV55709,No
PRV56438,Yes
PRV52892,No
PRV57577,No
PRV52490,No
PRV54627,No
PRV51004,No
PRV54878,No
PRV56793,No
PRV52741,No
PRV57385,No
PRV53989,No
PRV52084,No
PRV55053,No
PRV52610,No
PRV54360,No
PRV53568,No
PRV52299,No
PRV54356,No
PRV52526,No
PRV51801,No
PRV52012,No
PRV53140,No
PRV57667,Yes
PRV55830,No
PRV54206,No
PRV55285,No
PRV56119,No
PRV51964,No
PRV56336,No
PRV51097,No
PRV52502,Yes
PRV56540,No
PRV55368,No
PRV52434,No
PRV53640,No
PRV56199,No
PRV57573,No
PRV57574,No
PRV52833,No
PRV54055,No
PRV57257,No
PRV53451,No
PRV55759,No
PRV54363,No
PRV52365,No
PRV53391,No
PRV57245,No
PRV52427,No
PRV51302,No
PRV53757,No
PRV53002,No
PRV54934,No
PRV51668,No
PRV54414,No
PRV53756,No
PRV52374,No
PRV55011,No
PRV51895,No
PRV54380,No
PRV54254,No
PRV53472,No
PRV57141,No
PRV51896,No
PRV56005,No
PRV51062,No
PRV51702,No
PRV57680,No
PRV57005,No
PRV52001,No
PRV55500,No
PRV56683,No
PRV52988,No
PRV56390,No
PRV55138,No
PRV52611,No
PRV56662,No
PRV56475,No
PRV54140,No
PRV53161,No
PRV56696,No
PRV54564,No
PRV53180,No
PRV55071,No
PRV52273,No
PRV56377,No
PRV55588,No
PRV54842,No
PRV55262,No
PRV53523,No
PRV53445,No
PRV52914,No
PRV57412,No
PRV52157,No
PRV56071,No
PRV55312,No
PRV53019,No
PRV51942,No
PRV52744,No
PRV52720,No
PRV56322,No
PRV51990,No
PRV57654,No
PRV52608,No
PRV55843,No
PRV55177,No
PRV54642,No
PRV52152,No
PRV54208,No
PRV55150,No
PRV54701,No
PRV55074,No
PRV51583,No
PRV53599,No
PRV56373,No
PRV57541,No
PRV54306,No
PRV53494,No
PRV54625,No
PRV54444,No
PRV52163,No
PRV57261,No
PRV55569,No
PRV53043,No
PRV55619,No
PRV54634,No
PRV56174,No
PRV57236,No
PRV56256,No
PRV52907,No
PRV52568,No
PRV54135,No
PRV57751,No
PRV54813,No
PRV56484,No
PRV51911,No
PRV51810,No
PRV54030,No
PRV56509,No
PRV54757,No
PRV56582,No
PRV56828,No
PRV53949,No
PRV57363,No
PRV52008,No
PRV51245,No
PRV53621,No
PRV54200,No
PRV52725,No
PRV55378,No
PRV54344,No
PRV56393,No
PRV51330,No
PRV55494,No
PRV56247,No
PRV55257,No
PRV53399,Yes
PRV51723,No
PRV54239,No
PRV51837,No
PRV54540,Yes
PRV55953,No
PRV51878,No
PRV54555,No
PRV51203,No
PRV54129,No
PRV55543,No
PRV53197,No
PRV53939,No
PRV55766,No
PRV52865,No
PRV56161,Yes
PRV51610,No
PRV55164,No
PRV56348,No
PRV52647,No
PRV56300,No
PRV56934,No
PRV55804,No
PRV56124,No
PRV53972,No
PRV55842,Yes
PRV55446,No
PRV55044,No
PRV56758,No
PRV52566,No
PRV55118,No
PRV57405,No
PRV56398,No
PRV54017,No
PRV53320,No
PRV55965,No
PRV55772,No
PRV57692,No
PRV53983,No
PRV54304,No
PRV51725,No
PRV56788,No
PRV57138,No
PRV55319,No
PRV54179,No
PRV55297,No
PRV51706,No
PRV54985,No
PRV55489,No
PRV54519,No
PRV56028,No
PRV53444,No
PRV52440,No
PRV56592,Yes
PRV51323,No
PRV54176,No
PRV52396,Yes
PRV55770,No
PRV52159,No
PRV52783,No
PRV53244,No
PRV54577,No
PRV54623,No
PRV55140,No
PRV51590,Yes
PRV51901,No
PRV51568,No
PRV57670,No
PRV55537,No
PRV51554,No
PRV53377,No
PRV56153,No
PRV54368,No
PRV55739,No
PRV54297,Yes
PRV54050,No
PRV56003,No
PRV55586,No
PRV56926,No
PRV57689,No
PRV52395,No
PRV53735,No
PRV54216,No
PRV55348,No
PRV55292,No
PRV57302,No
PRV55592,No
PRV53206,No
PRV53686,No
PRV56956,No
PRV56388,No
PRV53584,No
PRV52341,No
PRV57526,No
PRV54345,No
PRV53860,No
PRV55129,No
PRV56319,No
PRV57742,No
PRV54477,No
PRV53990,No
PRV56562,No
PRV51908,No
PRV56401,No
PRV54073,No
PRV54452,No
PRV56073,No
PRV52623,No
PRV53085,No
PRV51687,No
PRV56400,Yes
PRV54651,Yes
PRV52891,No
PRV51780,No
PRV53521,No
PRV51494,No
PRV54054,No
PRV54677,No
PRV53864,No
PRV57523,No
PRV54686,No
PRV54263,No
PRV52290,No
PRV52748,No
PRV51196,No
PRV56238,No
PRV51836,Yes
PRV53198,No
PRV52344,No
PRV52197,No
PRV54537,No
PRV51120,No
PRV57588,No
PRV51703,No
PRV54779,No
PRV56632,No
PRV55864,No
PRV56878,No
PRV51947,No
PRV54885,No
PRV55405,No
PRV56669,Yes
PRV57295,Yes
PRV51299,No
PRV54402,No
PRV51284,No
PRV56763,No
PRV57321,No
PRV52868,Yes
PRV56871,No
PRV51505,No
PRV53360,No
PRV53668,Yes
PRV55103,No
PRV55760,No
PRV54773,No
PRV54462,No
PRV57730,No
PRV56136,No
PRV55298,No
PRV55584,No
PRV56598,No
PRV51811,No
PRV55540,No
PRV53255,No
PRV56797,No
PRV55447,No
PRV55783,No
PRV55096,No
PRV54717,No
PRV55886,No
PRV53357,No
PRV55226,No
PRV53254,No
PRV51765,No
PRV52695,No
PRV51584,Yes
PRV53943,No
PRV56469,No
PRV51105,No
PRV51959,No
PRV53037,No
PRV51608,No
PRV51935,No
PRV53555,No
PRV55934,Yes
PRV56996,No
PRV57190,No
PRV54246,No
PRV52539,No
PRV56511,No
PRV52555,No
PRV54384,No
PRV54780,No
PRV53298,No
PRV53879,No
PRV52220,No
PRV51218,No
PRV51726,No
PRV52435,No
PRV51812,No
PRV52314,No
PRV56836,No
PRV53877,No
PRV55325,No
PRV57515,No
PRV52284,No
PRV54837,Yes
PRV53020,No
PRV54818,No
PRV51362,No
PRV55684,No
PRV55802,No
PRV52457,No
PRV53290,No
PRV55492,Yes
PRV52037,No
PRV53054,No
PRV57169,No
PRV55891,No
PRV56577,No
PRV56477,No
PRV57219,No
PRV52574,Yes
PRV51431,No
PRV52280,Yes
PRV57660,No
PRV55376,No
PRV54809,No
PRV51438,No
PRV53570,No
PRV51640,No
PRV53794,No
PRV55885,No
PRV53236,No
PRV54133,No
PRV55690,No
PRV56510,No
PRV52383,Yes
PRV55374,Yes
PRV53617,No
PRV55239,No
PRV54550,No
PRV53074,No
PRV54065,Yes
PRV53732,No
PRV57635,No
PRV55255,No
PRV52782,No
PRV54327,Yes
PRV53835,No
PRV54370,No
PRV54676,Yes
PRV55562,No
PRV56743,No
PRV57436,No
PRV57154,No
PRV51342,No
PRV54866,No
PRV52377,No
PRV52970,No
PRV57688,No
PRV57627,No
PRV55832,No
PRV54443,No
PRV51054,No
PRV56415,No
PRV55816,No
PRV53511,No
PRV57225,No
PRV56671,No
PRV54057,No
PRV55437,Yes
PRV52469,No
PRV57744,No
PRV56271,No
PRV55928,No
PRV57432,No
PRV51876,Yes
PRV53157,No
PRV56020,No
PRV53969,No
PRV54123,No
PRV57403,No
PRV52889,No
PRV54451,No
PRV55571,No
PRV53764,No
PRV52411,No
PRV51838,No
PRV53608,No
PRV56410,No
PRV55234,No
PRV51266,No
PRV53559,No
PRV56279,No
PRV53125,No
PRV51316,No
PRV56196,No
PRV55337,No
PRV54597,No
PRV52373,No
PRV51072,No
PRV51678,No
PRV57652,No
PRV53340,No
PRV51567,Yes
PRV55657,No
PRV53676,No
PRV51556,No
PRV54266,No
PRV56062,No
PRV51379,No
PRV51285,No
PRV56980,No
PRV51190,No
PRV52174,No
PRV53015,No
PRV53587,No
PRV55865,No
PRV56114,No
PRV55507,No
PRV54019,No
PRV51787,No
PRV55385,No
PRV53067,No
PRV51670,No
PRV54354,Yes
PRV51762,No
PRV53237,No
PRV57411,No
PRV53703,No
PRV56647,Yes
PRV54491,No
PRV51845,No
PRV57485,No
PRV54710,No
PRV57561,No
PRV54328,No
PRV52332,No
PRV57000,No
PRV51037,Yes
PRV51276,No
PRV55183,No
PRV52933,Yes
PRV55252,No
PRV52801,No
PRV55705,No
PRV55974,No
PRV55324,No
PRV53507,No
PRV53306,No
PRV53889,No
PRV53100,No
PRV56233,No
PRV54856,No
PRV55431,No
PRV57701,No
PRV52494,No
PRV53628,No
PRV52652,Yes
PRV52408,No
PRV55521,No
PRV53690,No
PRV51616,No
PRV56135,No
PRV55983,No
PRV54562,No
PRV52227,No
PRV56539,No
PRV56190,No
PRV55721,No
PRV54739,Yes
PRV56861,No
PRV55652,No
PRV54013,No
PRV57471,No
PRV55810,No
PRV52523,No
PRV53697,No
PRV52009,No
PRV53950,No
PRV56331,No
PRV55026,No
PRV51348,No
PRV51744,No
PRV53159,No
PRV54374,No
PRV53597,No
PRV54638,No
PRV53980,No
PRV57437,No
PRV52732,No
PRV57455,No
PRV57706,No
PRV55110,No
PRV56749,No
PRV51508,No
PRV54838,No
PRV55111,No
PRV51060,No
PRV54027,No
PRV53780,No
PRV54038,No
PRV56995,No
PRV52905,No
PRV57671,No
PRV54942,Yes
PRV52830,No
PRV57732,No
PRV51491,No
PRV54871,No
PRV57002,No
PRV56999,No
PRV53122,No
PRV52656,No
PRV51557,No
PRV51710,No
PRV57590,No
PRV52416,No
PRV55076,No
PRV51978,No
PRV56361,Yes
PRV51650,No
PRV56864,No
PRV55468,No
PRV51734,No
PRV54004,No
PRV56340,No
PRV52462,No
PRV51492,No
PRV57449,No
PRV55181,No
PRV51383,No
PRV51655,No
PRV55933,No
PRV54255,No
PRV52038,No
PRV55168,No
PRV52349,No
PRV54061,No
PRV56610,No
PRV56430,No
PRV57116,No
PRV54786,Yes
PRV57374,No
PRV53658,No
PRV55850,No
PRV56512,No
PRV51968,No
PRV56103,Yes
PRV53551,No
PRV51159,Yes
PRV55703,No
PRV52097,No
PRV55733,No
PRV55005,No
PRV55610,No
PRV53806,No
PRV53204,No
PRV53590,No
PRV51707,No
PRV57610,No
PRV51424,No
PRV56660,No
PRV57390,No
PRV54257,No
PRV56364,No
PRV51796,No
PRV55291,No
PRV56897,No
PRV55787,No
PRV51868,Yes
PRV54734,No
PRV55182,No
PRV51766,No
PRV52071,No
PRV52955,No
PRV54413,No
PRV55966,No
PRV52879,No
PRV54201,No
PRV55350,No
PRV56324,No
PRV57728,No
PRV55600,No
PRV56456,No
PRV53038,No
PRV56378,No
PRV53056,No
PRV51871,No
PRV54879,Yes
PRV57253,No
PRV52142,No
PRV55192,No
PRV52261,No
PRV52151,Yes
PRV54903,No
PRV56329,No
PRV56145,No
PRV56628,No
PRV52476,No
PRV55123,No
PRV57463,No
PRV54058,No
PRV54072,No
PRV53965,No
PRV54422,No
PRV53517,No
PRV55259,No
PRV52104,No
PRV54895,Yes
PRV53762,Yes
PRV55145,No
PRV54066,No
PRV55498,No
PRV57542,No
PRV53782,No
PRV53346,No
PRV55528,No
PRV53532,No
PRV52839,No
PRV51909,No
PRV53657,No
PRV51416,No
PRV55523,No
PRV56896,No
PRV54785,No
PRV53841,No
PRV52929,No
PRV57072,No
PRV55918,No
PRV51638,No
PRV52576,No
PRV55495,Yes
PRV54172,No
PRV52504,Yes
PRV53731,No
PRV52182,No
PRV57166,Yes
PRV53710,No
PRV53821,No
PRV52367,No
PRV55736,No
PRV54449,No
PRV51487,No
PRV51952,No
PRV51840,Yes
PRV51075,No
PRV56863,No
PRV54148,No
PRV56621,No
PRV53602,No
PRV53347,No
PRV56305,No
PRV54077,Yes
PRV51414,No
PRV56830,No
PRV54743,Yes
PRV57696,No
PRV54572,No
PRV52572,No
PRV53818,No
PRV53460,No
PRV57657,No
PRV54337,No
PRV52727,No
PRV55035,No
PRV56684,No
PRV51988,No
PRV53013,No
PRV52030,Yes
PRV54315,No
PRV53061,No
PRV53384,Yes
PRV55985,No
PRV51951,Yes
PRV55716,No
PRV54496,No
PRV53035,No
PRV55246,No
PRV54090,No
PRV56554,No
PRV57347,No
PRV53501,No
PRV52940,No
PRV51432,No
PRV57191,Yes
PRV54973,No
PRV57669,No
PRV53280,No
PRV52556,No
PRV53675,No
PRV53566,No
PRV56947,No
PRV54101,No
PRV54365,No
PRV55682,No
PRV53885,No
PRV53540,No
PRV52385,No
PRV51933,No
PRV57615,No
PRV54006,No
PRV51892,No
PRV53188,No
PRV56251,No
PRV53044,No
PRV54931,Yes
PRV52506,No
PRV51049,No
PRV57171,No
PRV51078,No
PRV53920,No
PRV51645,No
PRV56225,Yes
PRV57124,No
PRV57662,No
PRV51799,No
PRV52683,No
PRV57757,No
PRV54033,No
PRV55195,Yes
PRV53291,No
PRV55654,No
PRV51488,No
PRV56015,No
PRV55423,No
PRV53007,Yes
PRV55601,No
PRV52772,No
PRV52356,No
PRV57655,No
PRV54508,No
PRV52144,No
PRV51998,No
PRV57438,No
PRV52028,No
PRV55155,No
PRV53591,No
PRV52022,No
PRV55275,No
PRV54210,No
PRV55188,No
PRV54403,No
PRV56543,No
PRV56734,No
PRV55706,No
PRV54173,No
PRV56881,No
PRV53787,Yes
PRV57470,No
PRV57335,Yes
PRV53045,No
PRV51748,No
PRV52228,No
PRV54500,No
PRV51579,No
PRV56115,No
PRV55171,Yes
PRV56321,No
PRV51349,No
PRV56134,Yes
PRV53525,No
